subject,2008-2012,2013-2017,2018-2022,2023
1,1.0,1.8986816703558114,3.578354018301345,4.19048951908997
2,1.0,1.5270434981501657,2.091658640344508,2.793267587687353
3,1.0,1.6295331517809077,2.742127311962244,3.019337411709118
4,1.0,1.2929420558602254,1.6328832482944062,1.7664711885270563
