subject,2008-2012,2013-2017,2018-2022,2023
1,1.0,1.8725564566046418,3.271802766546375,4.042609001296971
2,1.0,1.5593358747102806,2.4831854193120924,3.5453149620233013
3,1.0,1.3401359531651866,2.14792132508437,2.8805639862389705
4,1.0,1.6863893416672115,2.448193374823782,3.10095876120727
