subject,2008-2012,2013-2017,2018-2022,2023
1,1.0,1.8400471881035168,3.148756523415239,3.845031720599745
2,1.0,1.6272654578695007,2.691524275685054,3.843699772799149
3,1.0,1.534297316303242,2.4789973690181695,3.207752414723611
4,1.0,1.5846892788307256,2.1495082842214104,2.4669549678294183
