subject,2008-2012,2013-2017,2018-2022,2023
1,1.0,1.3308839748736176,1.8967464903447133,2.1597593800901635
2,1.0,1.0425867032556067,1.1381383956393785,1.3606346937909586
3,1.0,1.1632388816232533,1.5562476770023812,1.671880865671515
4,1.0,1.4006009353770983,1.7638294957428453,2.13700577536818
