subject,2008-2012,2013-2017,2018-2022,2023
1,1.0,2.2445553459975334,4.705930491986556,6.553016958324153
2,1.0,1.7915852882576817,3.25170507995341,4.841291168514327
3,1.0,1.7438687874065864,3.179532977011712,4.277587136719259
4,1.0,2.4441291394246285,4.159382231198381,5.158596798935167
