subject,2008-2012,2013-2017,2018-2022,2023
1,1.0,1.6302242351111722,2.341487425648966,2.4465417553467823
2,1.0,1.4482847932757146,2.070304067263611,2.7048149064201445
3,1.0,1.4123596707036303,1.9032284032046023,2.233658642502005
4,1.0,1.3730264299303265,1.6376420488835168,1.721441883002849
