stage,article_count_pre3,is_uscncoop_count_pre3,is_uscncoop1_count_pre3,is_uscncoop2_count_pre3,is_uscncoop3_count_pre3,not_uscncoop1_count_pre3,not_uscncoop2_count_pre3,not_uscncoop3_count_pre3,is_uscncoop_avgjf_pre3,not_uscncoop_avgjf_pre3,article_count_aft3,is_uscncoop_count_aft3,is_uscncoop1_count_aft3,is_uscncoop2_count_aft3,is_uscncoop3_count_aft3,not_uscncoop1_count_aft3,not_uscncoop2_count_aft3,not_uscncoop3_count_aft3,is_uscncoop_avgjf_aft3,not_uscncoop_avgjf_aft3
2008-2012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-2017,1.2669852995190805,2.0036449477013947,1.862634078092359,2.1436078769233164,1.7073221303265553,0.8335112411961505,1.6931536028422007,1.275360669213763,0.9770091312718093,1.4294884624615065,1.2508781434817982,2.1535779030240585,1.91479473540613,2.2354446066337097,2.0499294366066816,0.688008859931037,1.7025732790429122,1.2769467662847849,1.2310012950982696,1.782330610618025
2018-2022,1.787874108503458,3.0851096588295257,2.4607114807048442,3.5315573505047917,2.5144926789222954,0.7061284621217102,2.938129639712683,1.836217127820504,1.1208928551431676,2.0261250900538337,1.8066116107871102,2.4782898523493992,2.0343450961564624,2.665450167044641,2.1255009595254837,0.7318665046389109,2.822797034753835,1.7022113364902907,1.317386338687956,2.399240582289361
2023,2.153028874411137,3.0483480599926005,2.0206998456359377,3.6589876880208236,2.634472086718399,0.7870067818291678,3.7946951750453244,2.0964027104924,1.2019945999206452,2.2764968641984513,1.8206129747948956,1.8201987237736994,1.562264491384963,1.977536844648911,1.391796064658607,0.7187614586145674,3.037155499057381,1.4546658363397647,1.4760553912249994,2.6847769530915047
