leave_to,change_year,article_count_pre3,is_uscncoop_count_pre3,is_uscncoop1_count_pre3,is_uscncoop2_count_pre3,is_uscncoop3_count_pre3,not_uscncoop1_count_pre3,not_uscncoop2_count_pre3,not_uscncoop3_count_pre3,is_uscncoop_avgjf_pre3,not_uscncoop_avgjf_pre3,article_count_aft3,is_uscncoop_count_aft3,is_uscncoop1_count_aft3,is_uscncoop2_count_aft3,is_uscncoop3_count_aft3,not_uscncoop1_count_aft3,not_uscncoop2_count_aft3,not_uscncoop3_count_aft3,is_uscncoop_avgjf_aft3,not_uscncoop_avgjf_aft3
0,2013,2.4682539682380953,0.5079365079047619,0.07142857142857142,0.34126984123809523,0.09523809523809523,0.8730158729999999,0.8095238095714286,0.27777777776190476,6.055925925888889,5.161259398368421,2.6269841269523813,0.3333333333333333,0.047619047571428576,0.2063492063333333,0.07936507938095237,0.6666666666666666,1.3968253968095237,0.23015873009523813,5.0194444443999995,6.9477790401999995
0,2014,4.0185185185,0.3796296296111111,0.14814814811111113,0.19444444444444445,0.037037037,0.9074074073888888,2.4444444443888886,0.287037037,4.942777777666667,4.165959246352942,4.537037037055556,0.49999999994444444,0.07407407405555556,0.37037037033333337,0.05555555555555555,0.8240740741111111,2.888888888944445,0.32407407400000005,3.692683715444444,6.236870695777778
0,2015,3.347826086956522,0.376811594173913,0.07246376813043477,0.25362318843478265,0.050724637652173915,0.6739130434782609,1.833333333347826,0.46376811591304345,6.541458332875,5.879231515571428,3.4565217390869565,0.6449275362173913,0.18840579713043476,0.4202898550869565,0.03623188404347826,0.42753623186956524,1.934782608695652,0.4492753623913044,12.153952380733333,4.663253790173913
0,2016,4.416666666625,0.7638888888333333,0.15277777775,0.4722222221666667,0.13888888883333336,0.9305555554999999,2.215277777875,0.5069444444583334,7.158873626333333,4.129432034347826,5.188405797217391,0.717391304347826,0.07246376808695652,0.5072463767826086,0.1376811594347826,0.7753623188695652,3.0072463768695656,0.6884057970434782,4.698600565923077,7.076966039304347
0,2017,4.03645833334375,0.32812499996875,0.0208333333125,0.307291666625,0.0,0.869791666625,2.3072916666875,0.53124999996875,7.50659722225,4.467503263806452,5.65104166678125,1.03125,0.06249999996875,0.88541666665625,0.08333333331250001,0.921875,2.9375,0.76041666665625,8.941183441700002,5.222739399967741
0,2018,3.840277777458333,0.26388888883333333,0.05555555554166667,0.19444444441666667,0.013888888875,1.020833333375,2.166666666625,0.3888888889166667,3.4167857142857145,4.301362086652174,5.64666666688,0.32666666660000004,0.039999999960000004,0.2466666666,0.04,1.28666666672,3.5399999997600005,0.49333333332,7.991666666666667,4.903962502416667
0,2019,4.304347825978261,0.5942028985217391,0.09782608695652174,0.35507246373913043,0.14130434784782608,0.8333333333478261,2.3152173912391305,0.5615942028913044,5.232130394909091,6.2538628510697665,5.492753623086956,0.6159420289782609,0.11231884056521738,0.4021739129782609,0.10144927532608695,0.9239130434347826,3.1956521739347825,0.7644927536086956,8.86384895088,7.337851004888888
0,2020,4.0566037736603775,0.5283018867735849,0.02515723269811321,0.36477987418867924,0.13836477984905662,0.5628930817358491,2.4496855345660378,0.5157232704339623,7.95813633252174,6.440229098528302,5.611111111129629,0.4320987654074074,0.037037037018518515,0.34567901233333337,0.04938271601851852,0.7901234567777777,3.7067901235740743,0.6820987654074074,8.7003611111,6.330104304611111
0,2021,5.184444444413334,0.6866666666533333,0.09111111109333334,0.4844444444,0.11111111110666667,0.7933333332933333,3.117777777786667,0.58666666664,8.509917866534884,6.1765032120270265,7.586666666693333,0.4644444444133333,0.10666666664,0.3066666666133333,0.051111111093333335,0.98444444444,5.1733333331999996,0.9644444444533333,9.385865866162163,5.622976717364865
0,2022,6.273684210368422,0.7824561403157895,0.07017543857894737,0.5526315789157894,0.15964912281052632,1.1052631578315788,3.4385964912631577,0.950877192968421,6.839514213,5.776799443425532,7.76215277778125,0.5937499999791667,0.046875,0.4583333333125,0.08854166666666667,1.0486111111041667,5.22743055559375,0.892361111125,7.367027129948718,6.3134838242708335
0,2023,5.7307692306794875,0.6079059829038461,0.09829059826923077,0.4113247862884615,0.1004273503974359,0.9850427350384615,3.445512820576923,0.692307692275641,8.434100624811764,6.199899745411765,7.965189873417722,0.45569620253164556,0.06962025316455696,0.31329113924050633,0.07278481012658228,1.3417721518987342,5.503164556962025,0.6708860759493671,13.16961784511111,6.723138451854305
1,2013,2.620370370333333,0.3518518518888889,0.027777777777777776,0.1574074073888889,0.16666666666666666,0.8148148148333334,1.0555555555,0.39814814805555554,5.552380952428572,5.103930976166667,2.6587301587619048,0.253968253952381,0.03174603176190476,0.20634920633333337,0.015873015857142857,0.7222222222380952,1.3571428571428572,0.3253968254285714,3.8066666666000004,2.8899181154285714
1,2014,3.6018518517222224,0.44444444438888886,0.16666666666666666,0.27777777772222223,0.0,0.7685185185555555,1.907407407388889,0.4814814814444444,8.770555555555555,4.375088612777778,3.4629629629444443,0.25925925922222226,0.037037037,0.18518518516666665,0.037037037,0.5277777777777778,2.1111111111666663,0.5648148147777778,8.545,3.850050779
1,2015,2.9565217391304346,0.420289855,0.14492753621739132,0.2753623187826087,0.0,0.942028985478261,1.224637681130435,0.3695652173478261,4.351136363636363,3.3956617192857146,3.2083333332916664,0.26388888883333333,0.013888888875,0.24999999995833333,0.0,0.833333333375,1.65277777775,0.45833333329166664,9.376031745999999,4.038951664173913
